Gene_ID,Protein_Function,Locus
CA01g12000,PREDICTED: non-specific lipid-transfer protein-like protein At5g64080-like [Cucumis sativus],Pepper1.55ch01:47425011-47425407
CA01g12010,T4.18 protein,Pepper1.55ch01:47481793-47483080
CA01g12020,Dead box ATP-dependent RNA helicase%2C putative,Pepper1.55ch01:47503167-47514929
CA01g12030,Serine/threonine-protein phosphatase,Pepper1.55ch01:47533404-47541111
CA01g12040,Phytoene synthase,Pepper1.55ch01:47542237-47545834
CA01g12050,Detected protein of unknown function,Pepper1.55ch01:47555624-47557379
CA01g12060,Detected protein of unknown function,Pepper1.55ch01:47586570-47586942
CA01g12070,Gypsy/Ty-3 retroelement polyprotein%3B 69905-74404,Pepper1.55ch01:47587045-47587396
CA01g12080,Amino acid transporter%2C putative,Pepper1.55ch01:47862176-47863580
CA01g12090,Neutral amino acid transport protein,Pepper1.55ch01:47957976-47959389
CA01g12100,Extensin-like protein Dif54 (Precursor),Pepper1.55ch01:48080282-48081089
CA01g12110,Extensin-like protein Dif54 (Precursor),Pepper1.55ch01:48082975-48084920
CA01g12120,Extensin-like protein Dif54 (Precursor),Pepper1.55ch01:48088877-48089798
CA01g12130,Extensin-like protein Dif54 (Precursor),Pepper1.55ch01:48092018-48093152
CA01g12140,Beta-1%2C3-glucanase 21 (Precursor),Pepper1.55ch01:48117663-48119037
CA01g12150,Ethylene-overproduction protein%2C putative,Pepper1.55ch01:48232956-48233187
CA01g12160,PREDICTED: huntingtin-interacting protein K-like [Solanum lycopersicum],Pepper1.55ch01:48234138-48234468
CA01g12170,PREDICTED: serine/arginine-rich splicing factor 33-like isoform X1 [Solanum tuberosum],Pepper1.55ch01:48237567-48240266
CA01g12180,Detected protein of confused Function,Pepper1.55ch01:48300411-48300894
CA01g12190,Maintenance of killer 16 (Mak16) protein%2C putative,Pepper1.55ch01:48316033-48320365
CA01g12200,Calmodulin binding protein%2C putative [Theobroma cacao],Pepper1.55ch01:48648558-48650947
CA01g12210,Pentatricopeptide repeat-containing protein%2C putative,Pepper1.55ch01:48709327-48710512
CA01g12220,Hcr9-9D,Pepper1.55ch01:48713277-48715499
CA01g12230,Transposon protein-like,Pepper1.55ch01:48758537-48758984
CA01g12240,Hcr9-OR2C,Pepper1.55ch01:48823191-48823812
CA01g12250,PREDICTED: putative F-box protein At1g30920-like [Solanum tuberosum],Pepper1.55ch01:48879002-48879455
CA01g12260,PREDICTED: F-box protein At1g30790-like [Solanum tuberosum],Pepper1.55ch01:48960401-48961286
CA01g12270,Pentatricopeptide repeat-containing protein%2C putative,Pepper1.55ch01:49067896-49069300
CA01g12280,HAT family dimerization domain protein,Pepper1.55ch01:49502450-49503284
CA01g12290,Hydroxy-methyl-glutaryl-coenzyme A reductase,Pepper1.55ch01:49901007-49902880
CA01g12300,Hypothetical chloroplast RF1,Pepper1.55ch01:49943734-49944271
CA01g12310,Aluminum-activated citrate transporter,Pepper1.55ch01:50147291-50153979
CA01g12320,Calcium-dependent protein kinase%2C putative,Pepper1.55ch01:50498823-50505133
CA01g12330,PREDICTED: F-box protein PP2-B1 [Glycine max],Pepper1.55ch01:50634086-50634299
CA01g12340,Detected protein of unknown function,Pepper1.55ch01:50710172-50710595
CA01g12350,Detected protein of unknown function,Pepper1.55ch01:50712667-50713208
CA01g12360,Protein binding protein%2C putative,Pepper1.55ch01:50910047-50912683
CA01g12370,Resistance gene-like,Pepper1.55ch01:50914139-50915803
CA01g12380,N-like protein,Pepper1.55ch01:50954209-50956584
CA01g12390,PREDICTED: protein LURP-one-related 15-like [Solanum lycopersicum],Pepper1.55ch01:51227852-51229015
CA01g12400,Ethylene responsive transcription factor 1a,Pepper1.55ch01:51722165-51722743
CA01g12410,Ethylene-responsive transcription factor RAP2-6,Pepper1.55ch01:51871423-51871828
CA01g12420,Unknown protein,Pepper1.55ch01:51992890-51993274
CA01g12430,NPR1-interactor protein 1 (Fragment),Pepper1.55ch01:52006220-52008051
CA01g12440,BZIP transcription factor,Pepper1.55ch01:52008619-52010214
CA01g12450,Calcium-dependent protein kinase 17,Pepper1.55ch01:52035940-52041393
CA01g12460,Rho GTPase-activating protein,Pepper1.55ch01:52113431-52115689
CA01g12470,Rho GTPase activator%2C putative,Pepper1.55ch01:52119766-52121954
CA01g12480,PREDICTED: rho GTPase-activating protein 7-like isoform X2 [Solanum tuberosum],Pepper1.55ch01:52128302-52129214
CA01g12490,Phospholipase A22,Pepper1.55ch01:52147171-52148002
CA01g12500,PREDICTED: non-specific phospholipase C2-like isoform X1 [Citrus sinensis],Pepper1.55ch01:52335311-52358743
CA01g12510,RNA-directed DNA polymerase (Reverse transcriptase),Pepper1.55ch01:52384236-52384653
CA01g12520,Boron transporter,Pepper1.55ch01:52668406-52671632
CA01g12530,Unknown protein,Pepper1.55ch01:52702846-52703212
CA01g12540,(1-4)-beta-mannan endohydrolase (Precursor),Pepper1.55ch01:52719853-52721905
CA01g12550,Golgi nucleotide sugar transporter 1 [Theobroma cacao],Pepper1.55ch01:52836255-52840398
CA01g12560,PREDICTED: premnaspirodiene oxygenase-like [Solanum lycopersicum],Pepper1.55ch01:52918094-52920420
CA01g12570,ATP-dependent DNA helicase PIF1,Pepper1.55ch01:52922673-52923480
CA01g12580,Cytochrome P450,Pepper1.55ch01:53039592-53040504
CA01g12590,PREDICTED: cysteine proteinase inhibitor 5-like [Solanum lycopersicum],Pepper1.55ch01:53070023-53070500
CA01g12600,Hcr9-9B,Pepper1.55ch01:53381312-53381681
CA01g12610,F-box family protein,Pepper1.55ch01:53561751-53562969
CA01g12620,PREDICTED: DNA repair and recombination protein RAD54-like [Solanum lycopersicum],Pepper1.55ch01:53855130-53855325
CA01g12630,PREDICTED: zinc finger CCCH domain-containing protein 46-like isoform 1 [Solanum lycopersicum],Pepper1.55ch01:54593863-54597895
CA01g12640,At5g60520,Pepper1.55ch01:54627706-54628024
CA01g12650,zinc transporter 7 precursor family protein [Populus trichocarpa],Pepper1.55ch01:54654833-54656386
CA01g12660,Acidic class II 1%2C3-beta-glucanase (Precursor),Pepper1.55ch01:54858933-54860619
CA01g12670,Transposon MuDR mudrA-like protein%2C putative,Pepper1.55ch01:54960902-54961577
CA01g12680,Os02g0701833 [Oryza sativa] Japonica Group,Pepper1.55ch01:54969706-54970519
CA01g12690,Intracellular ribonuclease LX,Pepper1.55ch01:54976405-54976648
CA01g12700,PREDICTED: premnaspirodiene oxygenase-like [Solanum tuberosum],Pepper1.55ch01:55163078-55163462
CA01g12710,C2 domain-containing protein,Pepper1.55ch01:55208718-55211763
CA01g12720,Cytochrome P450,Pepper1.55ch01:55554276-55557056
CA01g12730,Avr9/Cf-9 rapidly elicited protein 231 (Precursor),Pepper1.55ch01:56003388-56003835
CA01g12740,Cytochrome P450,Pepper1.55ch01:56015371-56015833
CA01g12750,CYP71D51v2,Pepper1.55ch01:56016053-56016314
CA01g12760,PREDICTED: premnaspirodiene oxygenase-like [Solanum lycopersicum],Pepper1.55ch01:56016565-56017126
CA01g12770,Detected protein of unknown function,Pepper1.55ch01:56302552-56305433
CA01g12780,Polyprotein%2C putative,Pepper1.55ch01:56314714-56315149
CA01g12790,Unknown protein,Pepper1.55ch01:56375068-56376386
CA01g12800,Cop9 signalosome complex subunit%2C putative,Pepper1.55ch01:56596821-56607186
CA01g12810,Similar to hAT dimerisation domain-containing protein,Pepper1.55ch01:56648671-56649010
CA01g12820,Cytochrome P450 92B1,Pepper1.55ch01:56674363-56676419
CA01g12830,CBL-interacting serine/threonine-protein kinase%2C putative,Pepper1.55ch01:56958349-56962627
CA01g12840,CBL-interacting serine/threonine-protein kinase%2C putative,Pepper1.55ch01:56962658-56963919
CA01g12850,PREDICTED: protein kinase 2B%2C chloroplastic-like [Solanum tuberosum],Pepper1.55ch01:56966777-56968534
CA01g12860,Detected protein of unknown function,Pepper1.55ch01:57093940-57094324
CA01g12870,PREDICTED: ethylene-responsive transcription factor 5-like isoform X1 [Solanum tuberosum],Pepper1.55ch01:57272660-57272870
CA01g12880,PREDICTED: ethylene-responsive transcription factor 5-like isoform X1 [Solanum tuberosum],Pepper1.55ch01:57459221-57459503
CA01g12890,PREDICTED: ethylene-responsive transcription factor 5-like isoform X1 [Solanum tuberosum],Pepper1.55ch01:57473645-57473963
CA01g12900,DNA binding protein%2C putative,Pepper1.55ch01:57715542-57715767
CA01g12910,PREDICTED: ethylene-responsive transcription factor 5-like isoform X1 [Solanum tuberosum],Pepper1.55ch01:57730124-57730442
CA01g12920,Ethylene-responsive transcription factor RAP2-6,Pepper1.55ch01:57898869-57899157
CA01g12930,Ethylene responsive transcription factor 1a,Pepper1.55ch01:58513855-58515171
CA01g12940,Zinc finger%2C CCHC-type,Pepper1.55ch01:58640363-58641285
CA01g12950,PREDICTED: putative 1-aminocyclopropane-1-carboxylate deaminase-like [Solanum lycopersicum],Pepper1.55ch01:58675670-58679412
CA01g12960,GRAS family transcription factor,Pepper1.55ch01:58838419-58839838
CA01g12970,Rossmann-fold NAD(P)-binding domain-containing protein,Pepper1.55ch01:58890964-58892452
CA01g12980,Heme oxygenase 2 protein 2 (Fragment),Pepper1.55ch01:58908681-58909158
CA01g12990,Detected protein of unknown function,Pepper1.55ch01:58910322-58910874
CA01g13000,Phytochromobilin synthase,Pepper1.55ch01:58912263-58914519
CA01g13010,Putative retrotransposon protein,Pepper1.55ch01:58926667-58927280
CA01g13020,F-box family protein,Pepper1.55ch01:59089110-59090205
CA01g13030,Unknown protein,Pepper1.55ch01:59202108-59202537
CA01g13040,TrPRP2,Pepper1.55ch01:59207577-59208246
CA01g13050,Na(+)/H(+) antiporter%2C putative,Pepper1.55ch01:59211080-59212946
CA01g13060,Na(+)/H(+) antiporter%2C putative,Pepper1.55ch01:59212958-59214305
CA01g13070,Unknown protein,Pepper1.55ch01:59219065-59219389
CA01g13080,Unknown protein,Pepper1.55ch01:59243822-59245546
CA01g13090,Detected protein of unknown function,Pepper1.55ch01:59277273-59277588
CA01g13100,L-lactate dehydrogenase,Pepper1.55ch01:59283622-59285300
CA01g13110,DNA-directed RNA polymerase,Pepper1.55ch01:59288352-59289517
CA01g13120,DNA-directed RNA polymerase (Fragment),Pepper1.55ch01:59293039-59293375
CA01g13130,PRA1 family protein B1,Pepper1.55ch01:59295896-59296556
CA01g13140,Unknown protein,Pepper1.55ch01:59325075-59328385
CA01g13150,GRAS family transcription factor,Pepper1.55ch01:59375433-59377515
CA01g13160,Detected protein of unknown function,Pepper1.55ch01:59394597-59396853
CA01g13170,Detected protein of unknown function,Pepper1.55ch01:59399831-59402090
CA01g13180,Detected protein of unknown function,Pepper1.55ch01:59404885-59405269
CA01g13190,Detected protein of unknown function,Pepper1.55ch01:59412961-59415121
CA01g13200,Disease resistance protein R3a-like protein (Fragment),Pepper1.55ch01:59417627-59419028
CA01g13210,Disease resistance protein R3a-like protein,Pepper1.55ch01:59419086-59421483
CA01g13220,Small heat shock protein Hsp23.5 (Precursor),Pepper1.55ch01:59643491-59643797
CA01g13230,PREDICTED: MADS-box transcription factor 27-like [Solanum lycopersicum],Pepper1.55ch01:59980676-59981258
CA01g13240,DNA helicase%2C TBP-interacting protein,Pepper1.55ch01:60334394-60334793
CA01g13250,AGO4B,Pepper1.55ch01:60707077-60713049
CA01g13260,RNase H family protein,Pepper1.55ch01:60723795-60724101
CA01g13270,RNA-binding protein AKIP1-like,Pepper1.55ch01:60778251-60779475
CA01g13280,ABA-responsive element binding protein 3 isoform 1 [Theobroma cacao],Pepper1.55ch01:60941236-60941763
CA01g13290,PREDICTED: TMV resistance protein N-like [Vitis vinifera],Pepper1.55ch01:60944638-60944953
CA01g13300,RIKEN cDNA 1500006O09%2C related,Pepper1.55ch01:61064731-61068046
CA01g13310,PREDICTED: E3 ubiquitin-protein ligase RING1-like isoform 1 [Vitis vinifera],Pepper1.55ch01:61128246-61129206
CA01g13320,Detected protein of unknown function,Pepper1.55ch01:61160980-61161628
CA01g13330,PREDICTED: E3 ubiquitin-protein ligase RING1-like isoform 1 [Vitis vinifera],Pepper1.55ch01:61174029-61174986
CA01g13340,Detected protein of unknown function,Pepper1.55ch01:61220330-61221200
CA01g13350,4-diphosphocytidyl-2-C-methyl-D-erythritol kinase,Pepper1.55ch01:61235015-61241190
CA01g13360,PREDICTED: cysteine proteinase inhibitor isoform 1 [Solanum lycopersicum],Pepper1.55ch01:61243155-61243386
CA01g13370,Arsenite-resistance protein%2C putative,Pepper1.55ch01:61438906-61440480
CA01g13380,Arsenite-resistance protein%2C putative,Pepper1.55ch01:61446485-61447578
CA01g13390,Transposon MuDR mudrA-like protein%2C putative,Pepper1.55ch01:62033166-62033526
CA01g13400,Cyclin B1,Pepper1.55ch01:62051659-62053497
CA01g13410,Armadillo/beta-catenin repeat family protein,Pepper1.55ch01:62055104-62056435
CA01g13420,Molybdopterin biosynthesis protein%2C putative,Pepper1.55ch01:62097615-62101357
CA01g13430,Putative PIF1 DNA helicase/replication protein A1-like protein,Pepper1.55ch01:62548852-62549786
CA01g13440,PREDICTED: N-carbamoyl-L-amino acid hydrolase-like [Solanum lycopersicum],Pepper1.55ch01:62552555-62554976
CA01g13450,Helicase-like protein,Pepper1.55ch01:62557769-62558792
CA01g13460,ATP-dependent DNA helicase PIF1,Pepper1.55ch01:62559797-62560682
CA01g13470,Detected protein of unknown function,Pepper1.55ch01:62571597-62571972
CA01g13480,BTB-POZ and MATH domain protein,Pepper1.55ch01:62576909-62593229
CA01g13490,GAMyb-like1,Pepper1.55ch01:62595699-62599319
CA01g13500,Zinc finger%2C CCHC-type,Pepper1.55ch01:62609693-62610620
CA01g13510,PREDICTED: serine/threonine-protein phosphatase 7 long form homolog [Solanum tuberosum],Pepper1.55ch01:62856588-62858193
CA01g13520,PREDICTED: 60S ribosomal protein L30-like [Solanum lycopersicum],Pepper1.55ch01:62939113-62941862
CA01g13530,PREDICTED: serine/threonine-protein phosphatase 7 long form homolog [Glycine max],Pepper1.55ch01:63035232-63035602
CA01g13540,At2g27080/T20P8.13,Pepper1.55ch01:63597265-63598081
CA01g13550,Detected protein of unknown function,Pepper1.55ch01:63616722-63617822
CA01g13560,Polyprotein,Pepper1.55ch01:63706787-63707096
CA01g13570,EIL2,Pepper1.55ch01:63772678-63774520
CA01g13580,RNA-binding (RRM/RBD/RNP motifs) family protein isoform 1 [Theobroma cacao],Pepper1.55ch01:63961633-63961999
CA01g13590,5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase%2C putative,Pepper1.55ch01:64233242-64237922
CA01g13600,Double-stranded RNA binding protein,Pepper1.55ch01:64243849-64244663
CA01g13610,Hsp20/alpha crystallin family protein,Pepper1.55ch01:64511918-64512440
CA01g13620,Endonuclease/exonuclease/phosphatase,Pepper1.55ch01:64532100-64533188
CA01g13630,Monoxygenase%2C putative,Pepper1.55ch01:64587760-64588024
CA01g13640,ABA aldehyde oxidase,Pepper1.55ch01:64589585-64598058
CA01g13650,Succinic semialdehyde reductase isofom1,Pepper1.55ch01:64826295-64826562
CA01g13660,3-hydroxy-3-methylglutaryl coenzyme A reductase (Fragment),Pepper1.55ch01:64871340-64872306
CA01g13670,Detected protein of unknown function,Pepper1.55ch01:65062245-65062692
CA01g13680,Beta-D-glucosidase (Precursor),Pepper1.55ch01:65077257-65081887
CA01g13690,Unknown protein,Pepper1.55ch01:65323938-65324253
CA01g13700,PREDICTED: probable receptor-like protein kinase At5g15080-like [Glycine max],Pepper1.55ch01:65677228-65678007
CA01g13710,Orf315 protein,Pepper1.55ch01:65712625-65712889
CA01g13720,PREDICTED: protein FAF-like%2C chloroplastic-like [Solanum lycopersicum],Pepper1.55ch01:65729871-65731266
CA01g13730,PREDICTED: protein FAF-like%2C chloroplastic-like [Solanum lycopersicum],Pepper1.55ch01:65752694-65754257
CA01g13740,Serine/threonine-protein phosphatase,Pepper1.55ch01:65817626-65844723
CA01g13750,PREDICTED: protein CLP1 homolog isoform X1 [Solanum tuberosum],Pepper1.55ch01:65916208-65923655
CA01g13760,Macrophage erythroblast attacher,Pepper1.55ch01:65931279-65931711
CA01g13770,ATP binding protein%2C putative,Pepper1.55ch01:65972523-65980045
CA01g13780,Enoyl-CoA hydratase%2C mitochondrial%2C putative,Pepper1.55ch01:66080106-66083471
CA01g13790,PREDICTED: 3-hydroxyisobutyryl-CoA hydrolase-like protein 5-like [Solanum lycopersicum],Pepper1.55ch01:66088045-66090589
CA01g13800,Sterol delta-7 reductase,Pepper1.55ch01:66232943-66242496
CA01g13810,Polyprotein,Pepper1.55ch01:66250658-66251372
CA01g13820,PREDICTED: E3 ubiquitin-protein ligase PUB24-like [Solanum tuberosum],Pepper1.55ch01:66287756-66289606
CA01g13830,Unknown protein,Pepper1.55ch01:66317570-66318023
CA01g13840,PREDICTED: ATP-dependent DNA helicase PIF1-like [Cucumis sativus],Pepper1.55ch01:66378581-66378809
CA01g13850,PREDICTED: E3 ubiquitin-protein ligase PUB23-like [Solanum lycopersicum],Pepper1.55ch01:66495769-66497131
CA01g13860,Ovate family protein 6%2C putative [Theobroma cacao],Pepper1.55ch01:66883038-66884145
CA01g13870,CCR4 associated factor 1-related protein,Pepper1.55ch01:66911255-66912020
CA01g13880,2-oxoisovalerate dehydrogenase%2C putative,Pepper1.55ch01:66927367-66927694
CA01g13890,Thioredoxin domain-containing protein%2C putative,Pepper1.55ch01:67114359-67114926
CA01g13900,PREDICTED: putative serine/threonine-protein kinase-like protein CCR3-like [Solanum lycopersicum],Pepper1.55ch01:67209147-67209438
CA01g13910,Detected protein of unknown function,Pepper1.55ch01:67577847-67578066
CA01g13920,Type I MADS box transcription factor,Pepper1.55ch01:67698710-67699538
CA01g13930,CYP98A33v1,Pepper1.55ch01:67844707-67855051
CA01g13940,Nicalin%2C putative,Pepper1.55ch01:67913112-67919130
CA01g13950,Putative polyprotein,Pepper1.55ch01:67989459-67990611
CA01g13960,mRNA-decapping enzyme-like protein,Pepper1.55ch01:68101960-68110556
CA01g13970,Serine-threonine protein kinase%2C plant-type%2C putative,Pepper1.55ch01:68144816-68145350
CA01g13980,Unknown protein,Pepper1.55ch01:68622664-68622895
CA01g13990,PREDICTED: uncharacterized mitochondrial protein AtMg00810-like [Glycine max],Pepper1.55ch01:68959221-68959503
CA01g14000,Detected protein of unknown function,Pepper1.55ch01:68982041-68983751
CA01g14010,Unknown protein,Pepper1.55ch01:68988573-68988878
CA01g14020,Zinc ion binding%2Cnucleic acid binding-like protein [Theobroma cacao],Pepper1.55ch01:69044322-69044757
CA01g14030,PREDICTED: pentatricopeptide repeat-containing protein At2g36730 [Vitis vinifera],Pepper1.55ch01:69258528-69258879
CA01g14040,RNA-directed DNA polymerase (Reverse transcriptase),Pepper1.55ch01:69502390-69502768
CA01g14050,PREDICTED: bromodomain and WD repeat-containing protein 3-like isoform X2 [Citrus sinensis],Pepper1.55ch01:69572152-69587021
CA01g14060,PREDICTED: zinc finger CCHC domain-containing protein 10-like isoform X1 [Solanum tuberosum],Pepper1.55ch01:69617045-69617306
CA01g14070,Detected protein of unknown function,Pepper1.55ch01:70543957-70544948
CA01g14080,Detected protein of unknown function,Pepper1.55ch01:70621647-70622127
CA01g14090,Detected protein of unknown function,Pepper1.55ch01:70622458-70622888
CA01g14100,GTP-binding protein SAR2-like [Solanum tuberosum],Pepper1.55ch01:70716682-70717521
CA01g14110,Calmodulin-binding transcription factor SR3,Pepper1.55ch01:70718726-70724176
CA01g14120,AMP dependent ligase%2C putative,Pepper1.55ch01:71073084-71083581
CA01g14130,Putative P-type transporting ATPase,Pepper1.55ch01:71234180-71234393
CA01g14140,E1-E2 type truncated ATPase,Pepper1.55ch01:71234461-71235437
CA01g14150,PREDICTED: peroxisome biogenesis protein 3-2-like [Solanum tuberosum],Pepper1.55ch01:71235762-71236462
CA01g14160,Pentatricopeptide repeat-containing protein%2C putative,Pepper1.55ch01:71407593-71409372
CA01g14170,Heat shock protein%2C putative,Pepper1.55ch01:71416945-71417242
CA01g14180,Heat shock cognate 70 kDa protein%2C putative%2C expressed,Pepper1.55ch01:71417434-71417851
CA01g14190,Detected protein of unknown function,Pepper1.55ch01:71427190-71428197
CA01g14200,At4g16144,Pepper1.55ch01:71571256-71574764
CA01g14210,Importin subunit alpha,Pepper1.55ch01:72105341-72110836
CA01g14220,PREDICTED: GATA transcription factor 16-like [Solanum lycopersicum],Pepper1.55ch01:72237150-72237634
CA01g14230,PREDICTED: prolyl endopeptidase-like [Glycine max],Pepper1.55ch01:72318273-72318915
CA01g14240,ZPT4-3,Pepper1.55ch01:72925751-72927506
CA01g14250,26S protease regulatory subunit%2C putative,Pepper1.55ch01:73326669-73326831
CA01g14260,LOV/LOV protein,Pepper1.55ch01:73636833-73639866
CA01g14270,Detected protein of unknown function,Pepper1.55ch01:74014997-74020669
CA01g14280,Unknown protein,Pepper1.55ch01:74335655-74336024
CA01g14290,ribosomal protein S11 [Nicotiana tabacum],Pepper1.55ch01:74338093-74338510
CA01g14300,DNA-directed RNA polymerase subunit alpha,Pepper1.55ch01:74338575-74339589
CA01g14310,cytochrome b6-f complex subunit IV (chloroplast) [Camellia taliensis],Pepper1.55ch01:74339778-74340303
CA01g14320,Unknown protein,Pepper1.55ch01:74342728-74342968
CA01g14330,Photosystem II cp47 protein (Fragment),Pepper1.55ch01:74343630-74344107
CA01g14340,Photosystem II CP47 chlorophyll apoprotein,Pepper1.55ch01:74344122-74345094
CA01g14350,PREDICTED: ATP-dependent Clp protease proteolytic subunit-like%2C partial [Fragaria vesca] subsp. vesca,Pepper1.55ch01:74346501-74346726
CA01g14360,ribosomal protein L20 (chloroplast) [Capsicum annuum],Pepper1.55ch01:74349150-74349591
CA01g14370,PREDICTED: uncharacterized serine-rich protein C215.13-like [Solanum tuberosum],Pepper1.55ch01:74507735-74508680
CA01g14380,Hydrolase%2C alpha/beta fold family protein,Pepper1.55ch01:74514031-74514408
CA01g14390,Esterase PIR7B%2C putative,Pepper1.55ch01:74514488-74515040
CA01g14400,Cytochrome P450,Pepper1.55ch01:74854276-74858181
CA01g14410,RING finger protein%2C putative [Theobroma cacao],Pepper1.55ch01:74915397-74916249
CA01g14420,Transposon-like element Lyt2-1 DNA,Pepper1.55ch01:75117915-75118425
CA01g14430,Transposon-like element Lyt2-2 DNA,Pepper1.55ch01:75119741-75120146
CA01g14440,Detected protein of unknown function,Pepper1.55ch01:75231435-75233776
CA01g14450,Detected protein of confused Function,Pepper1.55ch01:75302067-75302511
CA01g14460,Poly [ADP-ribose] polymerase%2C putative,Pepper1.55ch01:75490067-75492493
CA01g14470,Poly [ADP-ribose] polymerase%2C putative,Pepper1.55ch01:75493028-75494513
CA01g14480,DNA-directed RNA polymerase subunit beta,Pepper1.55ch01:75644717-75645371
CA01g14490,Detected protein of confused Function,Pepper1.55ch01:75645406-75645799
CA01g14500,DNA-directed RNA polymerase subunit beta,Pepper1.55ch01:75646132-75647125
CA01g14510,DNA-directed RNA polymerase (Fragment),Pepper1.55ch01:75649511-75650177
CA01g14520,DNA-directed RNA polymerase (Fragment),Pepper1.55ch01:75651141-75651372
CA01g14530,DNA-directed RNA polymerase subunit beta'',Pepper1.55ch01:75652084-75653140
CA01g14540,ATP synthase subunit a%2C chloroplastic,Pepper1.55ch01:75656071-75656815
CA01g14550,ATP synthase subunit alpha%2C chloroplastic,Pepper1.55ch01:75659925-75661206
CA01g14560,photosystem II protein I [Nicotiana tabacum],Pepper1.55ch01:75667081-75667246
CA01g14570,ATP synthase subunit alpha%2C chloroplastic,Pepper1.55ch01:75669517-75670195
CA01g14580,ATP synthase subunit alpha (Fragment),Pepper1.55ch01:75670212-75670773
CA01g14590,DNA-directed RNA polymerase subunit beta'',Pepper1.55ch01:75676030-75676468
CA01g14600,DNA-directed RNA polymerase (Fragment),Pepper1.55ch01:75680762-75681191
CA01g14610,Ribulose-1%2C5-bisphosphate carboxylase/oxygenase large subunit (Fragment),Pepper1.55ch01:75682272-75683019
CA01g14620,ATP synthase subunit beta%2C chloroplastic,Pepper1.55ch01:75683038-75683401
CA01g14630,ATP synthase subunit beta (Fragment),Pepper1.55ch01:75683583-75684243
CA01g14640,ATP synthase CF1 epsilon subunit [Atropa belladonna],Pepper1.55ch01:75684707-75684932
CA01g14650,NAD(P)H-quinone oxidoreductase subunit K%2C chloroplastic,Pepper1.55ch01:75687898-75688324
CA01g14660,Unknown protein,Pepper1.55ch01:75688429-75688735
CA01g14670,30S ribosomal protein S4%2C chloroplastic,Pepper1.55ch01:75692283-75692592
CA01g14680,Photosystem I P700 chlorophyll a apoprotein A1,Pepper1.55ch01:75696740-75696944
CA01g14690,Photosystem 1 subunit A (Fragment),Pepper1.55ch01:75697001-75697541
CA01g14700,Photosystem1 subunit A (Fragment),Pepper1.55ch01:75697840-75698968
CA01g14710,Unknown protein,Pepper1.55ch01:75700838-75701195
CA01g14720,Photosystem II CP43 chlorophyll apoprotein,Pepper1.55ch01:75703510-75703909
CA01g14730,Photosystem II CP43 chlorophyll apoprotein (Fragment),Pepper1.55ch01:75703936-75705944
CA01g14740,unnamed protein product (chloroplast) [Nicotiana undulata],Pepper1.55ch01:75718743-75719141
CA01g14750,Unknow protein,Pepper1.55ch01:75720880-75721411
CA01g14760,Maturase K,Pepper1.55ch01:75725997-75726897
CA01g14770,photosystem II protein D1 (chloroplast) [Salvia miltiorrhiza],Pepper1.55ch01:75727866-75728349
CA01g14780,photosystem II protein D1 [Ipomoea purpurea],Pepper1.55ch01:75728412-75728928
CA01g14790,Ribosomal protein L2,Pepper1.55ch01:75729692-75730097
CA01g14800,NAD(P)H-quinone oxidoreductase chain 4%2C chloroplastic,Pepper1.55ch01:75731368-75731566
CA01g14810,ATP synthase subunit a%2C chloroplastic,Pepper1.55ch01:75733701-75734433
CA01g14820,30S ribosomal protein S2%2C chloroplastic,Pepper1.55ch01:75734672-75735308
CA01g14830,CBF1-like protein (Fragment),Pepper1.55ch01:75854209-75854863
CA01g14840,PREDICTED: caffeoylshikimate esterase-like isoform X1 [Solanum tuberosum],Pepper1.55ch01:75941924-75942290
CA01g14850,Detected protein of confused Function,Pepper1.55ch01:75973553-75973772
CA01g14860,Unknown protein,Pepper1.55ch01:76706749-76708294
CA01g14870,U2 snrnp auxiliary factor%2C small subunit%2C putative,Pepper1.55ch01:76787883-76790902
CA01g14880,Detected protein of unknown function,Pepper1.55ch01:77209979-77210237
CA01g14890,Putative disease resistance protein,Pepper1.55ch01:77327299-77329494
CA01g14900,UDP-D-apiose/UDP-D-xylose synthase,Pepper1.55ch01:77340221-77345830
CA01g14910,Detected protein of unknown function,Pepper1.55ch01:77382723-77383434
CA01g14920,Detected protein of unknown function,Pepper1.55ch01:77944854-77947135
CA01g14930,PREDICTED: serine/threonine-protein phosphatase 7 long form homolog [Solanum lycopersicum],Pepper1.55ch01:77949283-77951333
CA01g14940,PREDICTED: serine/threonine-protein phosphatase 7 long form homolog [Solanum lycopersicum],Pepper1.55ch01:77951447-77951918
CA01g14950,Detected protein of unknown function,Pepper1.55ch01:78683348-78683780
CA01g14960,Orf315 protein,Pepper1.55ch01:78687125-78687518
CA01g14970,Gag non-LTR retrotransposase,Pepper1.55ch01:78793962-78794742
CA01g14980,Putative Kunitz-type proteinase inhibitor,Pepper1.55ch01:78800764-78801457
CA01g14990,Photosystem I P700 apoprotein A1 (Fragment),Pepper1.55ch01:78807469-78808057
CA01g15000,photosystem I P700 apoprotein A1 [Solanum tuberosum],Pepper1.55ch01:78808129-78808621
CA01g15010,Photosystem I P700 chlorophyll a apoprotein A2,Pepper1.55ch01:78808646-78810427
CA01g15020,Unknown protein,Pepper1.55ch01:78810493-78810850
CA01g15030,ribosomal protein S14 [Atropa belladonna],Pepper1.55ch01:78810940-78811270
